program,flag,min_compile,max_compile,media_compile,mediana_compile,desvio_compile,min_run,max_run,media_run,mediana_run,desvio_run
spectral,no-flag,53.0,130.0,86.04,84.0,11,498.0,561.0,528.8,534.0,17
n_body,no-flag,50.0,126.0,82.73,79.5,16,7504.0,9060.0,8082.71,8040.5,299
spectral,O1,65.0,211.0,95.43,92.0,17,326.0,394.0,343.95,345.0,12
n_body,O1,60.0,141.0,97.98,100.0,18,2634.0,3411.0,2979.2,2960.0,196
spectral,O2,76.0,160.0,114.29,116.0,14,146.0,157.0,150.26,150.5,3
n_body,O2,90.0,137.0,102.58,101.0,7,2522.0,2980.0,2686.69,2635.0,129
spectral,O3,109.0,472.0,157.15,139.0,69,147.0,177.0,155.87,157.0,6
n_body,O3,106.0,374.0,125.43,119.5,28,2455.0,2807.0,2577.84,2516.5,116
spectral,Os,69.0,450.0,120.8,109.0,66,331.0,405.0,357.94,355.0,16
n_body,Os,71.0,298.0,100.2,93.5,26,3299.0,4059.0,3588.1,3605.5,189
